OID,COUNT,FOR_TEN,FOR_CATEGO,FOREST,STATE,FOR_BURNS,FOR_BURN_T
34132,5711,NCR,Native forest,1,Vic,0,Forest not burnt
34135,70,OCL,Native forest,1,Vic,0,Forest not burnt
34138,735,OCL,Native forest,1,Vic,0,Forest not burnt
34145,140917,MUF,Native forest,1,Vic,0,Forest not burnt
34148,363, ,Non-forest,0,Vic,-9, 
34151,9082,OCL,Native forest,1,Vic,0,Forest not burnt
34152,442, ,Non-forest,0,Vic,-9, 
34154,113732,MUF,Native forest,1,Vic,0,Forest not burnt
34155,1186, ,Non-forest,0,Vic,-9, 
34156,49,NCR,Native forest,1,Vic,0,Forest not burnt
34160,1957,OCL,Native forest,1,Vic,0,Forest not burnt
34161,1159,NCR,Native forest,1,Vic,1,Unplanned burns only
34162,1339, ,Non-forest,0,Vic,-9, 
34163,13,NCR,Native forest,1,Vic,1,Unplanned burns only
34164,44,NCR,Native forest,1,Vic,1,Unplanned burns only
34165,44,NCR,Native forest,1,Vic,1,Unplanned burns only
34166,32704,PRIV,Native forest,1,Vic,0,Forest not burnt
34167,202,NCR,Native forest,1,Vic,1,Unplanned burns only
34169,6496, ,Non-forest,0,Vic,-9, 
34170,41772,OCL,Native forest,1,Vic,0,Forest not burnt
34171,407,OCL,Other forest,1,Vic,0,Forest not burnt
34172,827,OCL,Native forest,1,Vic,0,Forest not burnt
34176,170,MUF,Native forest,1,Vic,0,Forest not burnt
34177,22,MUF,Other forest,1,Vic,0,Forest not burnt
34179,55,LEASE,Native forest,1,Vic,0,Forest not burnt
34180,1,LEASE,Native forest,1,Vic,0,Forest not burnt
34181,242,PRIV,Other forest,1,Vic,0,Forest not burnt
34183,2561, ,Non-forest,0,Vic,-9, 
34184,3,OCL,Native forest,1,Vic,1,Unplanned burns only
34189,21,OCL,Other forest,1,Vic,0,Forest not burnt
34194,2,OCL,Native forest,1,Vic,1,Unplanned burns only
34197,58,LEASE,Native forest,1,Vic,0,Forest not burnt
34215,1, ,Non-forest,0,Vic,-9, 
34216,2938, ,Non-forest,0,Vic,-9, 
34217,16256,PRIV,Native forest,1,Vic,0,Forest not burnt
34218,11,NCR,Native forest,1,Vic,1,Planned burns only
34219,710, ,Non-forest,0,Vic,-9, 
34221,1,PRIV,Other forest,1,Vic,1,Planned burns only
34222,146, ,Non-forest,0,Vic,-9, 
34223,1,PRIV,Native forest,1,Vic,1,Planned burns only
34225,2,NCR,Other forest,1,Vic,1,Planned burns only
34228,1548,NCR,Native forest,1,Vic,1,Planned burns only
34230,9,NCR,Native forest,1,Vic,1,Planned burns only
34238,8129,MUF,Native forest,1,Vic,0,Forest not burnt
34252,5965,NCR,Native forest,1,Vic,1,Unplanned burns only
34253,1611, ,Non-forest,0,Vic,-9, 
34263,244,OCL,Native forest,1,Vic,0,Forest not burnt
34408,3811,NCR,Native forest,1,Vic,1,Planned burns only
34410,1457,NCR,Native forest,1,Vic,1,Planned burns only
34411,32,NCR,Native forest,1,Vic,1,Planned burns only
34414,39,PRIV,Native forest,1,Vic,0,Forest not burnt
34421,910,NCR,Native forest,1,Vic,1,Unplanned burns only
34424,29,NCR,Native forest,1,Vic,1,Unplanned burns only
34431,1,NCR,Native forest,1,Vic,1,Unplanned burns only
34432,12,NCR,Native forest,1,Vic,0,Forest not burnt
34433,1474,NCR,Native forest,1,Vic,1,Planned burns only
34436,4746,NCR,Native forest,1,Vic,1,Planned burns only
34442,1328,NCR,Native forest,1,Vic,1,Unplanned burns only
34443,13727,PRIV,Other forest,1,Vic,0,Forest not burnt
34446,51,PRIV,Other forest,1,Vic,0,Forest not burnt
34449,117,NCR,Native forest,1,Vic,1,Planned burns only
34476,2,NCR,Native forest,1,Vic,2,Planned burns only
34479,1008,NCR,Native forest,1,Vic,1,Planned burns only
34486,3770,NCR,Native forest,1,Vic,1,Unplanned burns only
34487,56518,NCR,Native forest,1,Vic,1,Unplanned burns only
34488,325,NCR,Native forest,1,Vic,1,Unplanned burns only
34489,807,NCR,Native forest,1,Vic,1,Unplanned burns only
34500,25,NCR,Other forest,1,Vic,0,Forest not burnt
34506,731,NCR,Native forest,1,Vic,1,Planned burns only
34509,15,NCR,Native forest,1,Vic,1,Planned burns only
34513,471,NCR,Native forest,1,Vic,1,Planned burns only
34514,2109, ,Non-forest,0,Vic,-9, 
34526,916,NCR,Native forest,1,Vic,1,Unplanned burns only
34528,234,NCR,Native forest,1,Vic,1,Unplanned burns only
34531,178,NCR,Native forest,1,Vic,1,Unplanned burns only
34537,1,NCR,Native forest,1,Vic,1,Unplanned burns only
34540,17,NCR,Native forest,1,Vic,1,Unplanned burns only
34542,4,NCR,Native forest,1,Vic,1,Unplanned burns only
34545,8,NCR,Native forest,1,Vic,1,Unplanned burns only
34546,51,NCR,Native forest,1,Vic,1,Unplanned burns only
34551,2365,NCR,Native forest,1,Vic,1,Planned burns only
34575,936,NCR,Native forest,1,Vic,1,Planned burns only
34583,10,LEASE,Native forest,1,Vic,0,Forest not burnt
34602,6,PRIV,Native forest,1,Vic,1,Planned burns only
